категория;код товара;артикул;наименование;цена;дата;описание;картинка
Спот;319;PL01;Спот LED 3D 10W 6500K RD-PL01;563;22 01 2000 13:15;420;product_image/image-1-21.png
Спот;321;PL02;Спот LED 3D 18W 6500K RD-PL02;550;23 01 2000 13:15;750;product_image/image-1-21.png
Спот;323;PL03;Спот LED 3D 24W 6500K RD-PL03;1125;24 01 2000 13:15;;product_image/image-1-21.png
Спот;325;PL04;Спот LED 3D 36W 6500K RD-PL04;1563;25 01 2000 13:15;;product_image/image-1-21.png
Спот;320;PL05;Спот LED 3D 10W 6500K SQ-PL05;;26 01 2000 13:15;625;product_image/image-1-28.png
Спот;322;PL06;Спот LED 3D 18W 6500K SQ-PL06;600;27 01 2000 13:15;813;product_image/image-1-28.png
Спот;324;PL07;Спот LED 3D 24W 6500K SQ-PL07;900;28 01 2000 13:15;1188;product_image/image-1-28.png
Спот;326;PL08;Спот LED 3D 36W 6500K SQ-PL08;1688;29 01 2000 13:15;;product_image/image-1-28.png
Спот;338;PL14;Спот LED SF 12W 6500K RD-PL14;875;30 01 2000 13:15;;product_image/image-1-13.png
Спот;340;PL15;Спот LED SF 18W 6500K RD-PL15;1250;01 02 2000 13:15;;product_image/image-1-13.png
Спот;342;PL16;Спот LED SF 24W 6500K RD-PL16;2125;02 02 2000 13:15;;product_image/image-1-13.png
Спот;339;PL17;Спот LED SF 12W 6500K SQ-PL17;1000;03 02 2000 13:15;;product_image/image-1-16.png
Спот;341;PL18;Спот LED SF 18W 6500K SQ-PL18;1375;04 02 2000 13:15;;product_image/image-1-16.png
Спот;343;PL19;Спот LED SF 24W 6500K SQ-PL19;2250;05 02 2000 13:15;;product_image/image-1-16.png
Спот;327;PL20;Спот LED 3D SF 24W 6500K RD-PL20;1375;06 02 2000 13:15;;product_image/image-1-29.png
Спот;329;PL21;Спот LED 3D SF 36W 6500K RD-PL21;1875;07 02 2000 13:15;;product_image/image-1-29.png
Спот;331;PL22;Спот LED 3D SF 48W 6500K RD-PL22;3375;08 02 2000 13:15;;product_image/image-1-29.png
Спот;328;PL23;Спот LED 3D SF 24W 6500K SQ-PL23;1438;09 02 2000 13:15;;product_image/image-1-6.png
Спот;330;PL24;Спот LED 3D SF 36W 6500K SQ-PL24;2000;10 02 2000 13:15;;product_image/image-1-6.png
Спот;332;PL25;Спот LED 3D SF 48W 6500K SQ-PL25;3625;11 02 2000 13:15;;product_image/image-1-6.png
Лента;97;ST01;Лента LED 12V-2835-120D-0.2W 6500K 8MM*5M-ST01;1125;12 02 2000 13:15;;product_image/image-1-19.png
Лента;96;ST02;Лента LED 12V-2835-120D-0.2W 4000K 8MM*5M-ST02;1125;13 02 2000 13:15;;product_image/image-1-19.png
Лента;95;ST03;Лента LED 12V-2835-120D-0.2W 3000K 8MM*5M-ST03;1125;14 02 2000 13:15;;product_image/image-1-19.png
Лента;100;ST04;Лента LED 12V-2835-240D-0.2W 6500K 10MM*5M-ST04;2000;15 02 2000 13:15;;product_image/image-1-19.png
Лента;99;ST05;Лента LED 12V-2835-240D-0.2W 4000K 10MM*5M-ST05;2000;16 02 2000 13:15;;product_image/image-1-19.png
Лента;98;ST06;Лента LED 12V-2835-240D-0.2W 3000K 10MM*5M-ST06;2000;17 02 2000 13:15;;product_image/image-1-19.png
Лента;407;PN01;Лента LED 220V-120D-0.2W 4000K 10MM*5M-PN01;2125;18 02 2000 13:15;;product_image/image-1-19.png
Лента;408;PN02;Лента LED 220V-120D-0.2W 6500K 10MM*5M-PN02;2125;19 02 2000 13:15;;product_image/image-1-19.png
Адаптер;1;GI50503;Адаптер PULT RGB 100M-GI50503;1250;20 02 2000 13:15;;product_image/image-1-14.png
Лампа;79;XP44;Лампа Настенная İP66 GRAY 4000K 12W+12W 220V 300*110MM-XP44;5000;21 02 2000 13:15;7500;product_image/image-1-8.png
